timestamp,rank,movie_name,year,rating,votes
2026-09-04 17:46:32,87,The First Lap,2023,9.7,17
2026-09-04 17:46:32,88,Corps Man,2026,9.7,16
2026-09-04 17:46:32,89,Witness at Tornillo,2019,9.7,15
2026-09-04 17:46:32,90,A Dedicated Life: Phoebe Brand Beyond the Group,2015,9.7,15
2026-09-04 17:46:32,91,The Changing Face of Iceland,2021,9.7,15
2026-09-04 17:46:32,92,Love & Justice: In the Footsteps of Beethoven's Rebel Opera,2023,9.7,14
2026-09-04 17:46:32,93,The Arab Americans,2015,9.7,13
2026-09-04 17:46:32,94,Where the Horses Heal the Soul,2026,9.7,13
2026-09-04 17:46:32,95,Sunflowers in the Rain,2024,9.7,13
2026-09-04 17:46:32,96,Todo mapa tem um discurso,2014,9.7,13
2026-09-04 17:46:32,97,Six Locked Doors: The Legacy of Cocoanut Grove,2021,9.7,13
2026-09-04 17:46:32,98,Battleship Texas: The Lone Star Ship,2001,9.7,12
2026-09-04 17:46:32,99,9 Lives,2022,9.7,12
2026-09-04 17:46:32,100,Catching Bullets,2025,9.7,12
2026-09-04 17:46:32,101,Eight Chapters,2023,9.7,12
2026-09-04 17:46:32,102,Risha,2025,9.7,12
2026-09-04 17:46:32,103,The Woodstock of House,2021,9.7,11
2026-09-04 17:46:32,104,The Last Nomads,2016,9.7,11
2026-09-04 17:46:32,105,Beyond the Smoke,2022,9.7,10
2026-09-04 17:46:32,106,Voices over the Water,2023,9.7,10
2026-09-04 17:46:32,107,Song of Songs: The Journey of a Consecrated Virgin,2020,9.7,10
2026-09-04 17:46:32,108,Vertical,2026,9.7,9
2026-09-04 17:46:32,109,Magic in the Mundane,2026,9.7,6
2026-09-04 17:46:32,110,Oka Court Case,2026,9.6,2030
2026-09-04 17:46:32,111,Vinara O Vema,2026,9.6,1163
2026-09-04 17:46:32,112,Laggam Time,2026,9.6,1092
2026-09-04 17:46:32,113,One/4,2026,9.6,1047
2026-09-04 17:46:32,114,Manmauji,2024,9.6,760
2026-09-04 17:46:32,115,Boss,2026,9.6,566
2026-09-04 17:46:32,116,Picture,2026,9.6,545
2026-09-04 17:46:32,117,Maya Satya Bhram,2026,9.6,427
2026-09-04 17:46:32,118,Raakshasa,2025,9.6,186
2026-09-04 17:46:32,119,Borderline Forever,2021,9.6,151
2026-09-04 17:46:32,120,"I Respond to You, God",1996,9.6,109
2026-09-04 17:46:32,121,Abby's List: A Dogumentary,2023,9.6,104
2026-09-04 17:46:32,122,The Best Years Ever,1994,9.6,103
2026-09-04 17:46:32,123,Hockeytown,2024,9.6,102
2026-09-04 17:46:32,124,Tane Voivodata,2023,9.6,89
2026-09-04 17:46:32,125,Prince Oak Oakleyski and News Interviewers,2022,9.6,82
2026-09-04 17:46:32,126,Prince Oak Oakleyski: Eurasia Handsome Sovereign,2022,9.6,78
2026-09-04 17:46:32,127,A Faith Under Siege,2025,9.6,78
2026-09-04 17:46:32,128,Prince Oak Oakley Ski,2022,9.6,77
2026-09-04 17:46:32,129,Days of Géants 3: Dani Divova 3,2024,9.6,71
2026-09-04 17:46:32,130,Battle of Amritsar,2022,9.6,64
2026-09-04 17:46:32,131,Qawwali - Music of the Mystics,2020,9.6,59
2026-09-04 17:46:32,132,13 Lentes De Um Final Feliz (Documentário Completo),2024,9.6,59
2026-09-04 17:46:32,133,The Book of Harth,2022,9.6,58
2026-09-04 17:46:32,134,War of the Crowns: Fashion vs Beauty,2025,9.6,55
2026-09-04 17:46:32,135,The Next Right Thing,2025,9.6,55
2026-09-04 17:46:32,136,At the End of the World,2025,9.6,53
2026-09-04 17:46:32,137,Meeting the Buddha,2025,9.6,53
2026-09-04 17:46:32,138,Detroit Under S.T.R.E.S.S.,2018,9.6,51
2026-09-04 17:46:32,139,These Two Hands - The Story of Bowen Therapy,2023,9.6,47
2026-09-04 17:46:32,140,My Missing Screw,2025,9.6,43
2026-09-04 17:46:32,141,Guitar Days - An Unlikely Story of Brazilian Music,2019,9.6,42
2026-09-04 17:46:32,142,A Light in the Dark: The Art & Life of Frank Mason,2011,9.6,40
2026-09-04 17:46:32,143,Isteni kéz,2020,9.6,39
2026-09-04 17:46:32,144,Madina's Dream,2015,9.6,37
2026-09-04 17:46:32,145,The Butcher Baronet,2019,9.6,31
2026-09-04 17:46:32,146,The Gregg Russell Story,2024,9.6,31
2026-09-04 17:46:32,147,Rutas del más allá: El documental,2020,9.6,30
2026-09-04 17:46:32,148,Vicuna Salvation,2023,9.6,30
2026-09-04 17:46:32,149,The Kid Officer,2026,9.6,29
2026-09-04 17:46:32,150,Big Stages,2023,9.6,28
2026-09-04 17:46:32,151,The Roping Fools,2025,9.6,27
2026-09-04 17:46:32,152,Behind Our Walls,2023,9.6,27
2026-09-04 17:46:32,153,Heart of Brass,2025,9.6,27
2026-09-04 17:46:32,154,Sochi. Spring sonata,2021,9.6,26
2026-09-04 17:46:32,155,Dadiwonisi (We Will Speak),2023,9.6,25
2026-09-04 17:46:32,156,To Rise Above,2026,9.6,25
2026-09-04 17:46:32,157,Beyond Summits,2025,9.6,25
2026-09-04 17:46:32,158,Amazing Grace,2020,9.6,24
2026-09-04 17:46:32,159,What Do We Know About Refugees?,2022,9.6,24
2026-09-04 17:46:32,160,Cosa verrà,2022,9.6,23
2026-09-04 17:46:32,161,Creative Nature,2008,9.6,22
2026-09-04 17:46:32,162,Exclusion: Beyond the Silence,2024,9.6,22
2026-09-04 17:46:32,163,The Makings of Curtis Mayfield,2025,9.6,22
2026-09-04 17:46:32,164,Project Origin: For King and Con,2026,9.6,22
2026-09-04 17:46:32,165,Traces of the Brush: The Heartprint of Fu Shen,2018,9.6,22
2026-09-04 17:46:32,166,Struck,2025,9.6,21
2026-09-04 17:46:32,167,Turn Up the Love: Connecting to Pride,2023,9.6,20
2026-09-04 17:46:32,168,The Edge of Possible,2025,9.6,20
2026-09-04 17:46:32,169,The Gods as My Friends,2019,9.6,20
2026-09-04 17:46:32,170,Our Club,2019,9.6,19
2026-09-04 17:46:32,171,Kot ptic,2006,9.6,19
2026-09-04 17:46:32,172,"Ciria, Pronounced Thiria",2013,9.6,19
2026-09-04 17:46:32,173,Winona: A Copper Country Ghost Town,2015,9.6,19
2026-09-04 17:46:32,174,Project Pivot,2022,9.6,19
2026-09-04 17:46:32,175,Daniel Ho: Life as an Audition,2025,9.6,19
2026-09-04 17:46:32,176,Sehnsucht nach einer unbekannten Heimat,2021,9.6,18
2026-09-04 17:46:32,177,My Sister Liv,2022,9.6,18
2026-09-04 17:46:32,178,Onde as Ondas Quebram,2024,9.6,18
2026-09-04 17:46:32,179,Love Goes Public,2019,9.6,16
2026-09-04 17:46:32,180,Comigo Num se Pode,2022,9.6,16
2026-09-04 17:46:32,181,Democracy: Year Zero,2013,9.6,16
2026-09-04 17:46:32,182,Pre Fab!,2023,9.6,16
2026-09-04 17:46:32,183,Nikki Dial's Secrets of Sexcess,1996,9.6,15
2026-09-04 17:46:32,184,An Island's Legacy: Preparing for TT,2007,9.6,15
2026-09-04 17:46:32,185,Ramblings of a Bomber Pilot,2023,9.6,15
2026-09-04 17:46:32,186,Messaggio per il secolo,2013,9.6,15
2026-09-04 17:46:32,187,Built to Fail,2017,9.6,15
2026-09-04 17:46:32,188,Two Four Six,2017,9.6,15
2026-09-04 17:46:32,189,The American Good Samaritans,2022,9.6,14
2026-09-04 17:46:32,190,Land of Songs,2015,9.6,14
2026-09-04 17:46:32,191,Wolf: Homeless in Native America,2006,9.6,13
2026-09-04 17:46:32,192,Sidewalk Entrepreneurs,2019,9.6,13
2026-09-04 17:46:32,193,Bad Things Happen in Philadelphia,2023,9.6,13
2026-09-04 17:46:32,194,Conscious,2026,9.6,13
2026-09-04 17:46:32,195,A Vicious Cycle,2018,9.6,13
2026-09-04 17:46:32,196,The Boles Murders,2004,9.6,12
2026-09-04 17:46:32,197,Maternal Intuition,2023,9.6,12
2026-09-04 17:46:32,198,Artifact War,2024,9.6,12
2026-09-04 17:46:32,199,A Last Year in 114 Minutes,2014,9.6,12
2026-09-04 17:46:32,200,Music of Survival: The Story of the Ukrainian Bandurist Chorus,2015,9.6,12
